Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
48,32,5.58500,10.79250
48,64,5.78500,42.89250
48,24,12.13000,6.06500
48,16,26.26500,5.13250
56,16,34.81500,5.40750
64,16,35.60500,1.80250
72,16,42.94500,1.47250
84,16,63.18500,5.59250
100,16,87.27500,9.63750
48,48,6.79000,27.39500
48,58,7.30500,37.65250
48,68,8.24000,48.12000
48,78,11.46000,59.73000
48,88,13.73500,70.86750
48,98,17.88500,82.94250
