Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
48,32,5.585,10.27
48,64,5.785,39.64
48,24,12.13,3.005
48,16,26.265,4.535
56,16,34.815,4.24
64,16,35.605,-4.64
72,16,42.945,-4.825
84,16,63.185,-0.26
100,16,87.275,1.48
48,48,6.79,27.82
48,58,7.305,41.92
48,68,8.24,45.015
48,78,11.46,70.22
48,88,13.735,72.605
48,98,17.885,87.035
