Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
8,0.5,6.66000,0.36000
8,1,5.32500,0.09500
8,1.5,4.38000,0.12500
8,1.875,3.94000,0.17000
8,2,3.69500,0.15000
8,2.25,3.18000,0.07500
8,3,2.43500,0.12500
8,4,1.91000,0.85000
8,8,1.07500,4.38000
8,4,2.07000,1.31500
21,4,10.56500,0.21500
21,10,1.62500,0.84000
16,16,1.17500,7.29500
32,32,1.35000,15.91000
32,64,1.78500,38.06500
